Titre	Auteur	URL	Nom fichier	URL source année fin écriture	Année fin écriture	Nom auteur	Id auteur wikidata	URI œuvre data.bnf	Nb tokens	Nb words	Licence
Naïs Micoulin et autres nouvelles.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-Nais.epub	1884_Nais_Micoulin_et_autres_nouvelles	https://fr.wikipedia.org/wiki/Émile_Zola	1884	Zola	Q504		76349	83940	Domaine public
Un crime	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Un_crime.epub	1884_Un_crime	https://fr.wikipedia.org/wiki/Henry_Gréville, https://data.bnf.fr/fr/12122534/henry_greville/	1884	Gréville	Q2266038		67216	74235	Domaine public
13. Germinal.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-13.epub	1885_13_Germinal	https://catalogue.bnf.fr/ark:/12148/cb35691939q	1885	Zola	Q504	http://data.bnf.fr/ark:/12148/cb12011567j#about	161611	177153	Domaine public
Clairefontaine	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Clairefontaine.epub	1885_Clairefontaine	https://data.bnf.fr/fr/12122534/henry_greville/	1885	Gréville	Q2266038		77933	86392	Domaine public
L'inondation et autres nouvelles.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-Inondation.epub	1885_L_inondation_et_autres_nouvelles	https://fr.wikipedia.org/wiki/L%27Inondation_(nouvelle)	1885	Zola	Q504		73794	80215	Domaine public
Le mors aux dents	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-mors.epub	1885_Le_mors_aux_dents	https://data.bnf.fr/fr/12122534/henry_greville/	1885	Gréville	Q2266038		57170	63501	Domaine public
Mathias Sandorf	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne-Sandorf.epub	1885_Mathias_Sandorf	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1885	Verne	Q33977		152070	168470	Domaine public
14. L'oeuvre.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-14.epub	1886_14_L_oeuvre	https://catalogue.bnf.fr/ark:/12148/cb35691939q	1886	Zola	Q504	http://data.bnf.fr/ark:/12148/cb119560815#about	128469	141616	Domaine public
Robur le conquérant	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Robur_le_Conquerant.epub	1886_Robur_le_conquerant	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1886	Verne	Q33977		55808	62473	Domaine public
Un billet de loterie	Jules Verne	http://beq.ebooksgratuits.com/vents-epub/Verne_Un_billet_de_loterie.epub	1886_Un_billet_de_loterie	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1886	Verne	Q33977		46467	51499	Domaine public
